cliente_id,produto,valor_divida,dias_atraso,faixa_atraso,score,operador,total_acionamentos,taxa_contato,taxa_promessa,total_pago,qtd_pagamentos,cliente_recuperado,percentual_recuperado
1,Crédito Pessoal,3015.38,9,0-30,646,Ana,6.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0,0.0
2,Empréstimo Consignado,3376.25,15,0-30,793,Gustavo,7.0,0.7142857142857143,0.0,0.0,0.0,0,0.0
3,Cartão de Crédito,883.52,12,0-30,823,Eduardo,3.0,1.0,0.3333333333333333,0.0,0.0,0,0.0
4,Cartão de Crédito,1248.76,51,31-60,642,Ana,4.0,0.75,0.5,817.45,1.0,1,0.6546093724975176
5,Crédito Pessoal,7323.04,25,0-30,836,Ana,2.0,1.0,0.5,7433.889999999999,2.0,1,1.0151371561537283
6,Crédito Pessoal,6420.56,25,0-30,879,Daniela,1.0,1.0,0.0,0.0,0.0,0,0.0
7,Crédito Pessoal,6106.56,25,0-30,609,Daniela,3.0,0.6666666666666666,0.0,0.0,0.0,0,0.0
8,Empréstimo Consignado,7331.85,21,0-30,751,Fernanda,7.0,0.7142857142857143,0.14285714285714285,0.0,0.0,0,0.0
9,Cartão de Crédito,2466.79,9,0-30,703,Eduardo,3.0,1.0,0.6666666666666666,0.0,0.0,0,0.0
10,Cartão de Crédito,2285.04,56,31-60,739,Fernanda,3.0,0.6666666666666666,0.0,0.0,0.0,0,0.0
11,Crédito Pessoal,1826.13,46,31-60,623,Eduardo,4.0,0.75,0.75,0.0,0.0,0,0.0
12,Empréstimo Consignado,9943.06,93,90+,484,Carlos,5.0,0.2,0.0,0.0,0.0,0,0.0
13,Empréstimo Consignado,10558.04,46,31-60,739,Ana,3.0,1.0,0.0,0.0,0.0,0,0.0
14,Crédito Pessoal,2699.34,155,90+,333,Eduardo,4.0,0.25,0.0,0.0,0.0,0,0.0
15,Crédito Pessoal,2697.5,12,0-30,640,Daniela,2.0,0.5,0.5,2453.64,1.0,1,0.9095977757182576
16,Crédito Pessoal,5703.53,89,61-90,567,Carlos,1.0,0.0,0.0,0.0,0.0,0,0.0
17,Crédito Pessoal,5685.9,7,0-30,610,Fernanda,1.0,0.0,0.0,0.0,0.0,0,0.0
18,Cartão de Crédito,3086.14,146,90+,517,Carlos,4.0,0.5,0.25,1580.01,1.0,1,0.5119696449286163
19,Crédito Pessoal,7827.15,13,0-30,600,Daniela,5.0,0.6,0.2,6145.71,1.0,1,0.78517851325195
20,Crédito Pessoal,2884.18,20,0-30,770,Helena,4.0,0.75,0.5,3199.29,2.0,1,1.10925462349784
21,Cartão de Crédito,2434.4,19,0-30,881,Eduardo,3.0,0.3333333333333333,0.0,0.0,0.0,0,0.0
22,Crédito Pessoal,2998.96,38,31-60,552,Helena,3.0,0.3333333333333333,0.3333333333333333,1374.4,1.0,1,0.458292207965428
23,Crédito Pessoal,3143.02,35,31-60,624,Daniela,7.0,0.42857142857142855,0.2857142857142857,1702.0,1.0,1,0.5415173940986694
24,Crédito Pessoal,4140.41,46,31-60,674,Eduardo,4.0,0.25,0.0,0.0,0.0,0,0.0
25,Cartão de Crédito,3652.28,91,90+,547,Daniela,4.0,0.5,0.5,0.0,0.0,0,0.0
26,Cartão de Crédito,3383.85,42,31-60,508,Daniela,4.0,0.5,0.25,0.0,0.0,0,0.0
27,Crédito Pessoal,4850.35,58,31-60,508,Bruno,3.0,1.0,0.6666666666666666,4294.69,1.0,1,0.8854391951096311
28,Cartão de Crédito,775.12,62,61-90,528,Eduardo,4.0,0.75,0.25,1386.96,2.0,1,1.7893487460006192
29,Cartão de Crédito,2814.22,38,31-60,698,Ana,4.0,0.5,0.25,0.0,0.0,0,0.0
30,Crédito Pessoal,5739.34,79,61-90,571,Bruno,5.0,0.6,0.2,0.0,0.0,0,0.0
31,Cartão de Crédito,1753.13,33,31-60,558,Bruno,2.0,0.0,0.0,0.0,0.0,0,0.0
32,Crédito Pessoal,6661.39,12,0-30,705,Bruno,3.0,0.0,0.0,0.0,0.0,0,0.0
33,Crédito Pessoal,3094.35,56,31-60,678,Bruno,6.0,0.5,0.16666666666666666,2689.01,1.0,1,0.8690064149175111
34,Empréstimo Consignado,10483.22,179,90+,424,Ana,3.0,0.6666666666666666,0.3333333333333333,13215.900000000001,2.0,1,1.2606718164838668
35,Empréstimo Consignado,8723.2,77,61-90,415,Bruno,5.0,0.2,0.0,0.0,0.0,0,0.0
36,Empréstimo Consignado,3620.56,80,61-90,437,Fernanda,2.0,0.0,0.0,0.0,0.0,0,0.0
37,Crédito Pessoal,4277.05,31,31-60,638,Helena,0.0,0.0,0.0,0.0,0.0,0,0.0
38,Crédito Pessoal,5289.3,28,0-30,842,Ana,1.0,1.0,1.0,4455.75,1.0,1,0.8424082581816119
39,Cartão de Crédito,2740.13,60,31-60,652,Fernanda,4.0,0.75,0.5,2419.43,1.0,1,0.8829617572888877
40,Crédito Pessoal,7066.35,72,61-90,620,Helena,4.0,0.25,0.0,0.0,0.0,0,0.0
41,Crédito Pessoal,7315.55,87,61-90,610,Ana,5.0,0.6,0.4,3198.13,1.0,1,0.43716877063242
42,Cartão de Crédito,2309.1,25,0-30,809,Fernanda,1.0,1.0,1.0,4782.99,3.0,1,2.0713654670650903
43,Crédito Pessoal,6118.64,10,0-30,884,Bruno,1.0,1.0,0.0,0.0,0.0,0,0.0
44,Empréstimo Consignado,12823.81,3,0-30,767,Helena,2.0,1.0,0.0,0.0,0.0,0,0.0
45,Crédito Pessoal,2962.67,12,0-30,863,Carlos,0.0,0.0,0.0,0.0,0.0,0,0.0
46,Cartão de Crédito,2013.63,135,90+,397,Ana,2.0,0.0,0.0,0.0,0.0,0,0.0
47,Crédito Pessoal,1689.73,60,31-60,633,Helena,7.0,0.42857142857142855,0.0,0.0,0.0,0,0.0
48,Cartão de Crédito,1994.85,47,31-60,672,Bruno,6.0,0.5,0.3333333333333333,0.0,0.0,0,0.0
49,Cartão de Crédito,2664.63,33,31-60,608,Gustavo,2.0,1.0,1.0,0.0,0.0,0,0.0
50,Crédito Pessoal,767.71,64,61-90,580,Gustavo,4.0,0.5,0.5,338.15,1.0,1,0.44046580088835624
51,Empréstimo Consignado,9311.13,164,90+,521,Daniela,2.0,0.5,0.5,15806.98,2.0,1,1.6976435727994348
52,Cartão de Crédito,2122.12,10,0-30,748,Helena,3.0,1.0,0.0,0.0,0.0,0,0.0
53,Empréstimo Consignado,7811.98,68,61-90,643,Daniela,5.0,0.6,0.2,0.0,0.0,0,0.0
54,Empréstimo Consignado,4493.38,100,90+,356,Eduardo,3.0,0.3333333333333333,0.0,0.0,0.0,0,0.0
