cliente_id,data_acionamento,canal,contato_efetivo,promessa_pagamento
3361,2026-02-14 21:49:12.867668,Telefone,1,0
490,2026-02-05 21:49:12.867689,WhatsApp,0,0
3761,2026-01-29 21:49:12.868339,WhatsApp,0,0
8149,2025-12-29 21:49:12.868397,Telefone,1,0
8470,2026-02-21 21:49:12.867640,Telefone,0,0
4077,2026-01-16 21:49:12.868364,WhatsApp,0,0
5960,2025-12-20 21:49:12.868417,Telefone,1,0
9566,2025-12-03 21:49:12.868445,WhatsApp,1,1
8820,2026-01-11 21:49:12.868375,WhatsApp,0,0
2696,2026-01-28 21:49:12.868341,Telefone,0,0
9363,2026-02-17 21:49:12.867660,WhatsApp,1,1
678,2026-01-21 21:49:12.868352,WhatsApp,0,0
5812,2025-12-03 21:49:12.868445,Telefone,0,0
3402,2026-01-24 21:49:12.868347,Telefone,1,0
2443,2026-01-14 21:49:12.868369,Telefone,1,1
555,2026-01-19 21:49:12.868357,Telefone,0,0
8995,2026-02-03 21:49:12.867694,WhatsApp,1,1
1163,2026-01-21 21:49:12.868352,Telefone,1,0
424,2026-01-06 21:49:12.868386,Telefone,1,1
9469,2025-12-12 21:49:12.868434,WhatsApp,0,0
8608,2025-12-17 21:49:12.868424,WhatsApp,0,0
2006,2025-12-28 21:49:12.868398,WhatsApp,1,1
2864,2026-01-02 21:49:12.868392,Telefone,0,0
2013,2026-02-18 21:49:12.867658,Telefone,0,0
4310,2025-12-24 21:49:12.868408,Telefone,1,1
6582,2026-01-10 21:49:12.868378,WhatsApp,1,1
7648,2026-01-19 21:49:12.868357,Telefone,0,0
7016,2025-12-05 21:49:12.868443,Telefone,0,0
3872,2025-12-09 21:49:12.868438,Telefone,0,0
6750,2026-01-22 21:49:12.868350,WhatsApp,0,0
6012,2026-01-20 21:49:12.868355,Telefone,1,0
1618,2026-01-25 21:49:12.868345,Telefone,0,0
1644,2025-12-09 21:49:12.868438,WhatsApp,1,1
5699,2026-02-08 21:49:12.867682,Telefone,0,0
9996,2025-12-26 21:49:12.868403,Telefone,0,0
954,2025-12-24 21:49:12.868408,Telefone,0,0
5426,2025-12-14 21:49:12.868431,Telefone,0,0
9375,2025-12-24 21:49:12.868408,WhatsApp,0,0
4248,2026-01-04 21:49:12.868389,Telefone,1,1
7038,2026-01-16 21:49:12.868364,WhatsApp,1,1
909,2025-12-06 21:49:12.868441,WhatsApp,0,0
6140,2026-01-15 21:49:12.868366,Telefone,0,0
6600,2026-02-14 21:49:12.867668,Telefone,1,1
4430,2026-02-22 21:49:12.867636,WhatsApp,0,0
8655,2025-12-25 21:49:12.868406,Telefone,0,0
9685,2025-12-15 21:49:12.868430,Telefone,0,0
5967,2026-02-01 21:49:12.867714,Telefone,0,0
9242,2026-01-01 21:49:12.868393,Telefone,1,1
4535,2025-12-28 21:49:12.868398,WhatsApp,0,0
6241,2026-01-04 21:49:12.868389,Telefone,0,0
4490,2026-02-04 21:49:12.867692,WhatsApp,1,1
3539,2025-12-27 21:49:12.868402,Telefone,0,0
8459,2026-01-17 21:49:12.868362,Telefone,0,0
6019,2026-01-22 21:49:12.868350,WhatsApp,0,0
9751,2026-01-01 21:49:12.868393,Telefone,1,0
5318,2026-01-21 21:49:12.868352,Telefone,0,0
7209,2025-12-19 21:49:12.868419,Telefone,1,0
6569,2025-12-05 21:49:12.868443,Telefone,1,0
7423,2025-12-09 21:49:12.868438,Telefone,0,0
3540,2026-01-20 21:49:12.868355,WhatsApp,1,1
