cliente_id,produto,valor_divida,dias_atraso,faixa_atraso,score,operador
1,Crédito Pessoal,3015.38,9,0-30,646,Ana
2,Empréstimo Consignado,3376.25,15,0-30,793,Gustavo
3,Cartão de Crédito,883.52,12,0-30,823,Eduardo
4,Cartão de Crédito,1248.76,51,31-60,642,Ana
5,Crédito Pessoal,7323.04,25,0-30,836,Ana
6,Crédito Pessoal,6420.56,25,0-30,879,Daniela
7,Crédito Pessoal,6106.56,25,0-30,609,Daniela
8,Empréstimo Consignado,7331.85,21,0-30,751,Fernanda
9,Cartão de Crédito,2466.79,9,0-30,703,Eduardo
10,Cartão de Crédito,2285.04,56,31-60,739,Fernanda
11,Crédito Pessoal,1826.13,46,31-60,623,Eduardo
12,Empréstimo Consignado,9943.06,93,90+,484,Carlos
13,Empréstimo Consignado,10558.04,46,31-60,739,Ana
14,Crédito Pessoal,2699.34,155,90+,333,Eduardo
15,Crédito Pessoal,2697.5,12,0-30,640,Daniela
16,Crédito Pessoal,5703.53,89,61-90,567,Carlos
17,Crédito Pessoal,5685.9,7,0-30,610,Fernanda
18,Cartão de Crédito,3086.14,146,90+,517,Carlos
19,Crédito Pessoal,7827.15,13,0-30,600,Daniela
20,Crédito Pessoal,2884.18,20,0-30,770,Helena
21,Cartão de Crédito,2434.4,19,0-30,881,Eduardo
22,Crédito Pessoal,2998.96,38,31-60,552,Helena
23,Crédito Pessoal,3143.02,35,31-60,624,Daniela
24,Crédito Pessoal,4140.41,46,31-60,674,Eduardo
25,Cartão de Crédito,3652.28,91,90+,547,Daniela
26,Cartão de Crédito,3383.85,42,31-60,508,Daniela
27,Crédito Pessoal,4850.35,58,31-60,508,Bruno
28,Cartão de Crédito,775.12,62,61-90,528,Eduardo
29,Cartão de Crédito,2814.22,38,31-60,698,Ana
30,Crédito Pessoal,5739.34,79,61-90,571,Bruno
31,Cartão de Crédito,1753.13,33,31-60,558,Bruno
32,Crédito Pessoal,6661.39,12,0-30,705,Bruno
33,Crédito Pessoal,3094.35,56,31-60,678,Bruno
34,Empréstimo Consignado,10483.22,179,90+,424,Ana
35,Empréstimo Consignado,8723.2,77,61-90,415,Bruno
36,Empréstimo Consignado,3620.56,80,61-90,437,Fernanda
37,Crédito Pessoal,4277.05,31,31-60,638,Helena
38,Crédito Pessoal,5289.3,28,0-30,842,Ana
39,Cartão de Crédito,2740.13,60,31-60,652,Fernanda
40,Crédito Pessoal,7066.35,72,61-90,620,Helena
41,Crédito Pessoal,7315.55,87,61-90,610,Ana
42,Cartão de Crédito,2309.1,25,0-30,809,Fernanda
43,Crédito Pessoal,6118.64,10,0-30,884,Bruno
44,Empréstimo Consignado,12823.81,3,0-30,767,Helena
45,Crédito Pessoal,2962.67,12,0-30,863,Carlos
46,Cartão de Crédito,2013.63,135,90+,397,Ana
47,Crédito Pessoal,1689.73,60,31-60,633,Helena
48,Cartão de Crédito,1994.85,47,31-60,672,Bruno
49,Cartão de Crédito,2664.63,33,31-60,608,Gustavo
50,Crédito Pessoal,767.71,64,61-90,580,Gustavo
51,Empréstimo Consignado,9311.13,164,90+,521,Daniela
52,Cartão de Crédito,2122.12,10,0-30,748,Helena
53,Empréstimo Consignado,7811.98,68,61-90,643,Daniela
54,Empréstimo Consignado,4493.38,100,90+,356,Eduardo
55,Cartão de Crédito,2418.19,18,0-30,675,Gustavo
56,Empréstimo Consignado,13037.6,32,31-60,612,Ana
57,Crédito Pessoal,4200.39,45,31-60,505,Gustavo
58,Crédito Pessoal,574.13,4,0-30,830,Ana
59,Crédito Pessoal,7427.54,56,31-60,690,Helena
60,Crédito Pessoal,6084.9,3,0-30,733,Fernanda
61,Crédito Pessoal,5188.09,1,0-30,851,Daniela
62,Crédito Pessoal,6136.1,6,0-30,844,Ana
63,Empréstimo Consignado,8247.55,48,31-60,508,Helena
64,Crédito Pessoal,8286.53,58,31-60,568,Gustavo
65,Crédito Pessoal,6504.0,114,90+,373,Ana
66,Cartão de Crédito,2134.86,129,90+,410,Helena
67,Crédito Pessoal,7983.91,116,90+,499,Daniela
68,Empréstimo Consignado,13459.95,55,31-60,586,Bruno
69,Crédito Pessoal,6820.73,48,31-60,503,Fernanda
70,Empréstimo Consignado,9220.79,16,0-30,636,Daniela
71,Cartão de Crédito,1816.72,78,61-90,470,Carlos
72,Crédito Pessoal,6371.32,5,0-30,861,Gustavo
73,Crédito Pessoal,5776.05,136,90+,536,Gustavo
74,Empréstimo Consignado,7919.59,10,0-30,777,Daniela
75,Cartão de Crédito,3059.41,15,0-30,695,Fernanda
76,Cartão de Crédito,2569.65,45,31-60,641,Daniela
77,Cartão de Crédito,2939.03,116,90+,526,Fernanda
78,Crédito Pessoal,7071.66,54,31-60,510,Gustavo
79,Crédito Pessoal,2337.81,27,0-30,865,Bruno
80,Crédito Pessoal,2950.65,1,0-30,788,Daniela
81,Empréstimo Consignado,5263.33,20,0-30,808,Daniela
82,Cartão de Crédito,4052.01,56,31-60,512,Helena
83,Crédito Pessoal,6266.95,52,31-60,620,Bruno
84,Crédito Pessoal,6453.24,5,0-30,761,Gustavo
85,Crédito Pessoal,7258.88,45,31-60,559,Helena
86,Crédito Pessoal,2906.69,29,0-30,604,Daniela
87,Cartão de Crédito,869.38,178,90+,539,Bruno
88,Cartão de Crédito,2449.71,49,31-60,701,Carlos
89,Empréstimo Consignado,10692.72,30,0-30,611,Bruno
90,Cartão de Crédito,2341.93,51,31-60,679,Ana
91,Crédito Pessoal,2260.12,76,61-90,540,Ana
92,Cartão de Crédito,1775.82,22,0-30,839,Helena
93,Cartão de Crédito,1556.59,138,90+,481,Fernanda
94,Cartão de Crédito,2010.11,23,0-30,824,Bruno
95,Cartão de Crédito,1572.5,26,0-30,781,Daniela
96,Cartão de Crédito,2617.42,46,31-60,540,Eduardo
97,Cartão de Crédito,2061.93,18,0-30,777,Gustavo
98,Crédito Pessoal,6266.86,26,0-30,717,Gustavo
99,Crédito Pessoal,3047.04,93,90+,395,Eduardo
100,Crédito Pessoal,5510.69,29,0-30,675,Helena
101,Crédito Pessoal,4924.8,16,0-30,645,Helena
102,Cartão de Crédito,2816.82,51,31-60,726,Carlos
103,Crédito Pessoal,6073.43,36,31-60,599,Carlos
104,Cartão de Crédito,3014.92,4,0-30,893,Eduardo
105,Empréstimo Consignado,10492.27,130,90+,539,Eduardo
106,Crédito Pessoal,6084.58,3,0-30,740,Bruno
107,Crédito Pessoal,5595.73,45,31-60,703,Eduardo
108,Cartão de Crédito,1966.62,113,90+,449,Ana
109,Crédito Pessoal,6701.47,34,31-60,735,Carlos
110,Crédito Pessoal,3606.23,176,90+,429,Gustavo
111,Crédito Pessoal,4416.17,15,0-30,868,Fernanda
112,Crédito Pessoal,3276.69,108,90+,356,Gustavo
113,Empréstimo Consignado,5352.56,38,31-60,661,Carlos
114,Empréstimo Consignado,7049.0,176,90+,446,Gustavo
115,Cartão de Crédito,2313.58,21,0-30,736,Ana
116,Empréstimo Consignado,5559.33,17,0-30,715,Carlos
117,Empréstimo Consignado,8065.89,15,0-30,760,Helena
118,Crédito Pessoal,5313.52,148,90+,454,Eduardo
119,Empréstimo Consignado,6365.36,15,0-30,772,Carlos
120,Cartão de Crédito,4331.71,108,90+,429,Ana
121,Empréstimo Consignado,8998.09,30,0-30,678,Carlos
122,Empréstimo Consignado,8354.79,26,0-30,656,Fernanda
123,Crédito Pessoal,3648.09,176,90+,394,Fernanda
124,Crédito Pessoal,5275.68,78,61-90,456,Fernanda
125,Crédito Pessoal,5481.61,15,0-30,733,Gustavo
126,Crédito Pessoal,4993.05,6,0-30,613,Fernanda
127,Empréstimo Consignado,12255.95,172,90+,326,Eduardo
128,Empréstimo Consignado,2895.59,7,0-30,893,Fernanda
129,Crédito Pessoal,4239.24,20,0-30,746,Fernanda
130,Cartão de Crédito,3071.07,40,31-60,664,Bruno
131,Crédito Pessoal,3206.67,12,0-30,726,Fernanda
132,Crédito Pessoal,1906.65,40,31-60,734,Eduardo
133,Crédito Pessoal,3962.22,81,61-90,403,Helena
134,Crédito Pessoal,7087.87,122,90+,357,Fernanda
135,Empréstimo Consignado,5381.12,8,0-30,817,Carlos
136,Crédito Pessoal,4287.15,27,0-30,832,Helena
137,Cartão de Crédito,2837.19,67,61-90,512,Fernanda
138,Cartão de Crédito,2036.56,67,61-90,567,Daniela
139,Crédito Pessoal,4120.1,79,61-90,542,Carlos
140,Empréstimo Consignado,6043.85,4,0-30,859,Gustavo
141,Empréstimo Consignado,6296.66,174,90+,517,Fernanda
142,Crédito Pessoal,2674.13,33,31-60,551,Fernanda
143,Cartão de Crédito,2294.17,79,61-90,545,Carlos
144,Crédito Pessoal,7128.47,19,0-30,698,Ana
145,Crédito Pessoal,8165.62,16,0-30,781,Daniela
146,Crédito Pessoal,7499.63,66,61-90,568,Ana
147,Cartão de Crédito,2610.16,26,0-30,832,Fernanda
148,Cartão de Crédito,3827.08,52,31-60,687,Ana
149,Crédito Pessoal,9605.72,44,31-60,592,Eduardo
150,Crédito Pessoal,5362.56,11,0-30,716,Helena
151,Empréstimo Consignado,5028.31,1,0-30,603,Bruno
152,Crédito Pessoal,7623.87,87,61-90,484,Helena
153,Crédito Pessoal,2593.03,136,90+,466,Carlos
154,Cartão de Crédito,1790.79,83,61-90,406,Helena
155,Empréstimo Consignado,1752.4,109,90+,424,Daniela
156,Crédito Pessoal,6454.83,170,90+,450,Carlos
157,Cartão de Crédito,647.64,45,31-60,731,Ana
158,Cartão de Crédito,3294.28,104,90+,384,Helena
159,Crédito Pessoal,8618.88,54,31-60,562,Gustavo
160,Cartão de Crédito,3882.22,39,31-60,692,Bruno
161,Crédito Pessoal,2468.36,37,31-60,622,Ana
162,Cartão de Crédito,1009.04,80,61-90,568,Carlos
163,Cartão de Crédito,1986.01,7,0-30,688,Eduardo
164,Cartão de Crédito,3203.35,29,0-30,694,Carlos
165,Crédito Pessoal,7407.58,22,0-30,899,Helena
166,Empréstimo Consignado,9993.5,9,0-30,644,Ana
167,Crédito Pessoal,6056.01,17,0-30,852,Daniela
168,Crédito Pessoal,9722.01,23,0-30,650,Gustavo
169,Crédito Pessoal,4043.91,2,0-30,664,Daniela
170,Cartão de Crédito,1877.62,3,0-30,653,Daniela
171,Cartão de Crédito,1548.7,74,61-90,583,Gustavo
172,Crédito Pessoal,5865.93,91,90+,521,Daniela
173,Cartão de Crédito,2356.36,38,31-60,709,Helena
174,Crédito Pessoal,6649.96,8,0-30,671,Daniela
175,Cartão de Crédito,2139.56,13,0-30,767,Fernanda
176,Crédito Pessoal,6257.56,58,31-60,685,Bruno
177,Cartão de Crédito,2192.92,79,61-90,542,Bruno
178,Crédito Pessoal,4674.59,23,0-30,618,Eduardo
179,Empréstimo Consignado,7796.03,69,61-90,409,Helena
180,Crédito Pessoal,1599.4,31,31-60,715,Helena
181,Crédito Pessoal,4720.03,37,31-60,515,Daniela
182,Crédito Pessoal,6124.29,57,31-60,670,Ana
183,Empréstimo Consignado,5035.67,47,31-60,658,Ana
184,Empréstimo Consignado,13730.37,51,31-60,607,Carlos
185,Crédito Pessoal,5009.77,48,31-60,515,Daniela
186,Cartão de Crédito,1998.56,75,61-90,479,Gustavo
187,Empréstimo Consignado,6028.24,29,0-30,883,Gustavo
188,Cartão de Crédito,3596.41,71,61-90,589,Ana
189,Cartão de Crédito,1840.15,4,0-30,747,Fernanda
190,Crédito Pessoal,5596.19,20,0-30,762,Eduardo
191,Crédito Pessoal,6766.07,25,0-30,864,Ana
192,Empréstimo Consignado,9662.65,16,0-30,737,Fernanda
193,Empréstimo Consignado,6311.97,55,31-60,544,Fernanda
194,Cartão de Crédito,3171.38,2,0-30,629,Eduardo
195,Crédito Pessoal,5311.55,12,0-30,767,Daniela
196,Crédito Pessoal,1560.12,79,61-90,490,Carlos
197,Cartão de Crédito,3478.61,72,61-90,490,Helena
198,Empréstimo Consignado,6159.24,71,61-90,610,Carlos
199,Empréstimo Consignado,7473.19,41,31-60,573,Helena
200,Cartão de Crédito,2747.57,89,61-90,443,Bruno
201,Cartão de Crédito,2074.49,41,31-60,673,Daniela
202,Crédito Pessoal,6513.82,106,90+,433,Ana
203,Crédito Pessoal,2792.32,13,0-30,623,Gustavo
204,Empréstimo Consignado,6276.86,70,61-90,600,Carlos
205,Cartão de Crédito,3480.58,78,61-90,618,Helena
206,Crédito Pessoal,5050.55,7,0-30,606,Fernanda
207,Crédito Pessoal,2886.37,59,31-60,505,Eduardo
208,Cartão de Crédito,2562.98,20,0-30,717,Fernanda
209,Crédito Pessoal,5803.31,177,90+,460,Eduardo
210,Crédito Pessoal,1827.96,79,61-90,484,Ana
211,Cartão de Crédito,3823.43,173,90+,409,Ana
212,Cartão de Crédito,3931.52,34,31-60,747,Daniela
213,Cartão de Crédito,2596.0,42,31-60,665,Ana
214,Crédito Pessoal,4599.84,12,0-30,744,Ana
215,Cartão de Crédito,2518.36,24,0-30,630,Ana
216,Crédito Pessoal,6786.1,75,61-90,564,Gustavo
217,Crédito Pessoal,5905.22,164,90+,438,Carlos
218,Cartão de Crédito,2691.38,34,31-60,719,Helena
219,Cartão de Crédito,3605.86,26,0-30,732,Daniela
220,Empréstimo Consignado,11392.82,28,0-30,663,Gustavo
221,Cartão de Crédito,1732.07,56,31-60,575,Gustavo
222,Cartão de Crédito,3209.92,15,0-30,730,Ana
223,Crédito Pessoal,7303.24,31,31-60,555,Gustavo
224,Crédito Pessoal,5556.52,10,0-30,637,Helena
225,Crédito Pessoal,6198.07,45,31-60,553,Helena
226,Crédito Pessoal,4385.12,36,31-60,629,Ana
227,Empréstimo Consignado,4386.74,43,31-60,717,Fernanda
228,Crédito Pessoal,8774.56,18,0-30,601,Fernanda
229,Empréstimo Consignado,3981.61,16,0-30,845,Gustavo
230,Cartão de Crédito,3845.01,174,90+,439,Eduardo
231,Cartão de Crédito,2447.8,75,61-90,439,Carlos
232,Cartão de Crédito,3497.95,17,0-30,857,Ana
233,Cartão de Crédito,2518.33,40,31-60,604,Carlos
234,Cartão de Crédito,3249.93,168,90+,424,Daniela
235,Crédito Pessoal,5897.71,15,0-30,784,Daniela
236,Cartão de Crédito,1964.5,46,31-60,546,Fernanda
237,Crédito Pessoal,5268.24,16,0-30,843,Bruno
